,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
83,0.002112671,0.001497641,0.001805156,0.002063301,0.001501296,0.001782298,0.002163062,0.001697138,0.0019301
241,0.00185993,0.00135643,0.00160818,0.001837109,0.001388657,0.001612883,0.00187891,0.001495146,0.001687028
267,0.001568821,0.000793377,0.001181099,0.001490011,0.000786108,0.00113806,0.001593854,0.000943341,0.001268597
132,0.002160347,0.002075556,0.002117952,0.002284531,0.002069994,0.002177263,0.002213414,0.002524264,0.002368839
506,0.002177579,0.001842819,0.002010199,0.002154819,0.001880223,0.002017521,0.002204105,0.002017192,0.002110648
346,0.002019188,0.001427681,0.001723434,0.001993751,0.001438696,0.001716223,0.002081457,0.001664681,0.001873069
280,0.001841033,0.000735726,0.001288379,0.001791227,0.000708111,0.001249669,0.001872546,0.00097367,0.001423108
233,0.002164186,0.002001413,0.0020828,0.002141651,0.002027194,0.002084422,0.002166386,0.00210972,0.002138053
55,0.002175685,0.001567652,0.001871669,0.002148087,0.00160909,0.001878588,0.002187549,0.001763283,0.001975416
290,0.002117363,0.001613064,0.001865213,0.002132589,0.001644511,0.00188855,0.002144516,0.001870134,0.002007325
273,0.001890497,0.00083398,0.001362239,0.001824078,0.000826942,0.00132551,0.001905295,0.000951261,0.001428278
532,0.002470583,0.001475925,0.001973254,0.002511888,0.001526412,0.00201915,0.002546471,0.002018495,0.002282483
426,0.002302834,0.000980025,0.001641429,0.002270122,0.001011464,0.001640793,0.002300917,0.001114289,0.001707603
369,0.002013584,0.001243665,0.001628625,0.001972102,0.001252548,0.001612325,0.002047184,0.001506132,0.001776658
496,0.002180663,0.001832109,0.002006386,0.002288291,0.001830708,0.0020595,0.002205193,0.002120748,0.00216297
164,0.00225992,0.000789538,0.001524729,0.002220619,0.000812967,0.001516793,0.002252287,0.000903024,0.001577656
462,0.002012207,0.001005511,0.001508859,0.001941959,0.000997979,0.001469969,0.002078673,0.001479994,0.001779333
504,0.002003016,0.002439496,0.002221256,0.002148877,0.002444182,0.00229653,0.002002407,0.002602198,0.002302302
317,0.00209044,0.000919626,0.001505033,0.002039381,0.00089747,0.001468425,0.002148008,0.001356522,0.001752265
43,0.001675115,0.001632221,0.001653668,0.001614225,0.001638762,0.001626494,0.001719933,0.001793999,0.001756966
248,0.002132873,0.001572183,0.001852528,0.002160881,0.001587212,0.001874046,0.002155675,0.001842758,0.001999216
1,0.002185155,0.001254137,0.001719646,0.002159471,0.001283883,0.001721677,0.002215935,0.001507336,0.001861635
586,0.00209431,0.000909001,0.001501655,0.002049242,0.000915985,0.001482614,0.002132177,0.001218167,0.001675172
155,0.002100984,0.001450436,0.00177571,0.002076771,0.001475929,0.00177635,0.002118318,0.001548075,0.001833196
122,0.00222972,0.001921645,0.002075683,0.002735967,0.001953578,0.002344772,0.002188112,0.002103402,0.002145757
81,0.002139395,0.001874069,0.002006732,0.002111647,0.001896329,0.002003988,0.00216103,0.0019844,0.002072715
88,0.002003437,0.001906404,0.001954921,0.002051438,0.001919049,0.001985244,0.002077614,0.002353794,0.002215704
10,0.001934662,0.001743098,0.00183888,0.001895359,0.001761623,0.001828491,0.001966454,0.001904485,0.001935469
383,0.002291435,0.00434064,0.003316037,0.00274896,0.004273358,0.003511159,0.002185303,0.004736244,0.003460773
484,0.002650158,0.001672354,0.002161256,0.002714465,0.001665124,0.002189795,0.002639,0.001801055,0.002220027
538,0.001801984,0.001011923,0.001406954,0.001742732,0.001002311,0.001372522,0.001835391,0.001140273,0.001487832
341,0.00176447,0.001350818,0.001557644,0.00172867,0.001348501,0.001538585,0.001821879,0.001668528,0.001745203
221,0.00211748,0.001539296,0.001828388,0.002126866,0.001566352,0.001846609,0.002155765,0.001712487,0.001934126
599,0.001986579,0.000848725,0.001417652,0.001942714,0.00086435,0.001403532,0.002014821,0.001019664,0.001517243
9,0.002241264,0.001483138,0.001862201,0.002193558,0.001497588,0.001845573,0.002288298,0.001788183,0.00203824
170,0.002262893,0.001810536,0.002036714,0.002227352,0.001821426,0.002024389,0.00229777,0.002022047,0.002159908
355,0.001849229,0.001032835,0.001441032,0.001770694,0.000996467,0.00138358,0.001914773,0.001429054,0.001671914
340,0.001946021,0.000983029,0.001464525,0.001876716,0.000927238,0.001401977,0.002009404,0.001387238,0.001698321
281,0.002103847,0.000818063,0.001460955,0.002075053,0.000845249,0.001460151,0.002094991,0.000893162,0.001494077
437,0.002162932,0.000814578,0.001488755,0.002121404,0.000842149,0.001481777,0.002144745,0.000866386,0.001505565
142,0.001727548,0.000776981,0.001252265,0.001668239,0.00076603,0.001217134,0.001774057,0.001117003,0.00144553
583,0.001690143,0.000749003,0.001219573,0.001626497,0.000748898,0.001187697,0.001718945,0.000883635,0.00130129
347,0.00221572,0.001078294,0.001647007,0.002181388,0.001104289,0.001642839,0.002197312,0.001134202,0.001665757
104,0.002137038,0.002188809,0.002162924,0.002271862,0.002210308,0.002241085,0.002196215,0.00271373,0.002454973
190,0.001972866,0.000935228,0.001454047,0.001946414,0.000950312,0.001448363,0.001971571,0.00106249,0.00151703
238,0.002239775,0.002011036,0.002125405,0.002293601,0.002035599,0.0021646,0.002244058,0.0022259,0.002234979
49,0.001909764,0.001229243,0.001569504,0.001864412,0.001244133,0.001554272,0.00193718,0.001377492,0.001657336
457,0.002440854,0.001323695,0.001882274,0.002410111,0.001203211,0.001806661,0.00243521,0.00167036,0.002052785
446,0.002635412,0.001443977,0.002039695,0.002642262,0.001487421,0.002064842,0.00264208,0.001550188,0.002096134
4,0.002163453,0.001297853,0.001730653,0.00213495,0.001331773,0.001733362,0.002183399,0.001480103,0.001831751
234,0.001960384,0.001144369,0.001552376,0.00192273,0.001150796,0.001536763,0.001999434,0.001456492,0.001727963
108,0.00191605,0.001642767,0.001779408,0.00187106,0.001616343,0.001743701,0.001990239,0.001994356,0.001992298
591,0.002135659,0.001053369,0.001594514,0.002095054,0.001072632,0.001583843,0.002128982,0.001108129,0.001618555
156,0.00137761,0.00131027,0.00134394,0.001295969,0.001314936,0.001305452,0.00140831,0.001496621,0.001452465
517,0.002488916,0.001888922,0.002188919,0.00253149,0.00193261,0.00223205,0.002532564,0.002125101,0.002328832
127,0.001335895,0.001378981,0.001357438,0.001308092,0.0013957,0.001351896,0.001349868,0.001491986,0.001420927
63,0.002067249,0.001797042,0.001932145,0.002104408,0.001798955,0.001951682,0.002140617,0.002188542,0.002164579
158,0.001970326,0.000844638,0.001407482,0.001925628,0.000868541,0.001397084,0.001985202,0.000985271,0.001485237
523,0.001801086,0.001163589,0.001482337,0.001748178,0.001174253,0.001461216,0.0018342,0.001288487,0.001561344
23,0.001930349,0.001274794,0.001602571,0.001868151,0.001258726,0.001563438,0.001991811,0.001517565,0.001754688
278,0.00154553,0.000774879,0.001160205,0.001465847,0.000768459,0.001117153,0.001570102,0.000905093,0.001237597
