,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
442,0.003253858,0.001409604,0.002331731,0.00298651,0.001556077,0.002271294,0.002923257,0.001711002,0.00231713
546,0.001847471,0.000975017,0.001411244,0.001692069,0.000937191,0.00131463,0.001803113,0.001153244,0.001478179
177,0.002597876,0.001011367,0.001804621,0.002435173,0.001057423,0.001746298,0.002472989,0.001314806,0.001893898
36,0.001893459,0.001095576,0.001494517,0.001662976,0.00109186,0.001377418,0.001764468,0.00129702,0.001530744
303,0.00225475,0.00088933,0.00157204,0.001895226,0.000883011,0.001389119,0.001992623,0.001143677,0.00156815
319,0.001884824,0.000854847,0.001369836,0.001833351,0.000869012,0.001351182,0.001900299,0.000970367,0.001435333
140,0.002012949,0.001682644,0.001847796,0.001829921,0.001655047,0.001742484,0.001895234,0.00185091,0.001873072
256,0.002198772,0.001905185,0.002051979,0.002085481,0.001924798,0.00200514,0.0021259,0.002098905,0.002112402
423,0.002543207,0.001661566,0.002102387,0.002435205,0.001696674,0.002065939,0.00245148,0.001758224,0.002104852
327,0.00172104,0.000900302,0.001310671,0.001580405,0.000890826,0.001235616,0.001683246,0.001168349,0.001425797
435,0.003245096,0.001428699,0.002336898,0.002804888,0.001615615,0.002210252,0.002775935,0.00177096,0.002273448
149,0.002311691,0.002134341,0.002223016,0.002165172,0.002138523,0.002151848,0.002220648,0.002255332,0.00223799
65,0.002135571,0.001922481,0.002029026,0.002088198,0.001944279,0.002016239,0.002143976,0.002044966,0.002094471
224,0.001986815,0.001649002,0.001817909,0.001893005,0.001670344,0.001781675,0.001959208,0.001804128,0.001881668
178,0.001816137,0.000777517,0.001296827,0.001776018,0.000793125,0.001284572,0.001829657,0.000826795,0.001328226
101,0.002441965,0.001648136,0.00204505,0.002133315,0.001628251,0.001880783,0.002228636,0.001904518,0.002066577
373,0.002195277,0.002925441,0.002560359,0.002170092,0.002919047,0.00254457,0.002150869,0.003115654,0.002633262
451,0.002634068,0.001114,0.001874034,0.00248601,0.001136899,0.001811454,0.002519623,0.001298734,0.001909179
298,0.002665502,0.001404258,0.00203488,0.002214524,0.001373347,0.001793935,0.002292768,0.001671256,0.001982012
205,0.002181123,0.001307306,0.001744214,0.001688758,0.001158454,0.001423606,0.001893619,0.001910745,0.001902182
99,0.002253922,0.001628795,0.001941358,0.002089676,0.00161037,0.001850023,0.002142299,0.001924073,0.002033186
226,0.001593186,0.001716982,0.001655084,0.001490717,0.001719556,0.001605137,0.001521245,0.0019703,0.001745773
124,0.00278077,0.001313,0.002046885,0.002218651,0.001299666,0.001759158,0.002281777,0.001612495,0.001947136
8,0.002562113,0.001305792,0.001933953,0.002099912,0.001308663,0.001704288,0.002172529,0.001530178,0.001851353
37,0.002700518,0.001276659,0.001988589,0.001855326,0.001260567,0.001557946,0.001982669,0.001746028,0.001864349
549,0.002525947,0.00114531,0.001835629,0.002457134,0.001158642,0.001807888,0.002502069,0.001260993,0.001881531
471,0.002228963,0.001068483,0.001648723,0.001971133,0.000989458,0.001480296,0.002082145,0.001396049,0.001739097
198,0.002661257,0.001256781,0.001959019,0.00180424,0.001163671,0.001483956,0.001951525,0.001670977,0.001811251
405,0.003567659,0.001194653,0.002381156,0.002609396,0.001207543,0.001908469,0.002641726,0.001511525,0.002076626
185,0.002636594,0.001993206,0.0023149,0.002420672,0.001959929,0.002190301,0.002392527,0.002240014,0.002316271
502,0.002313197,0.002670012,0.002491605,0.002237061,0.002642757,0.002439909,0.002131631,0.002991475,0.002561553
116,0.002485706,0.001753513,0.002119609,0.001882856,0.001692316,0.001787586,0.001946312,0.002090515,0.002018413
22,0.002239779,0.001594468,0.001917123,0.002184919,0.001610367,0.001897643,0.002212579,0.001722727,0.001967653
497,0.003510892,0.001765126,0.002638009,0.002157305,0.001784724,0.001971015,0.00218557,0.001973627,0.002079599
530,0.004405738,0.002001346,0.003203542,0.003265978,0.002043087,0.002654532,0.003141681,0.002477104,0.002809393
174,0.001864997,0.000704259,0.001284628,0.001834173,0.000717482,0.001275828,0.001881844,0.000756818,0.001319331
